8Hr gRNA (u),8Hr gRNA (s),24Hr gRNA (u),24Hr gRNA (s),8Hr SRNA (u),8Hr SRNA (s),24Hr SRNA (u),24Hr SRNA (s),8Hr ORF8 RNA (u),8Hr ORF8 RNA (s),24Hr ORF8 RNA (u),24Hr ORF8 RNA (s),8Hr NRNA (u),8Hr NRNA (s),24Hr NRNA (u),24Hr NRNA (s)
Q9NW15,ANO10,P24666,ACP1,Q9UG63,ABCF2,Q53H12,AGK,P09110,ACAA1,Q96BJ3,AIDA,Q86V21,AACS,P24666,ACP1
P20020,ATP2B1,Q9HDC9,APMAP,Q13085,ACACA,P27824,CANX,Q9UKV3,ACIN1,Q8NB46,ANKRD52,P33527,ABCC1,P33121,ACSL1
Q9HC52,CBX8,Q8N3C0,ASCC3,P16219,ACADS,Q99439,CNN2,P00568,AK1,Q9NQW6,ANLN,Q02252,ALDH6A1,P30520,ADSS2
Q16740,CLPP,P40121,CAPG,Q9UKV3,ACIN1,Q14247,CTTN,Q6P6C2,ALKBH5,P00966,ASS1,Q86V81,ALYREF,Q09666,AHNAK
O75534,CSDE1,P62633,CNBP,Q9Y305,ACOT9,Q9UBS4,DNAJB11,Q9HDC9,APMAP,P11274,BCR,P63010,AP2B1,Q9NQW6,ANLN
Q9BQ39,DDX50,O75390,CS,Q12904,AIMP1,Q92979,EMG1,Q9NVT9,ARMC1,O75390,CS,Q9BZZ5,API5,Q9BZZ5,API5
P35659,DEK,P23919,DTYMK,P14550,AKR1A1,Q9Y2X7,GIT1,Q07817,BCL2L1,Q13616,CUL1,O15145,ARPC3,Q9HDC9,APMAP
Q08426,EHHADH,Q8NBJ4,GOLM1,Q92572,AP3S1,P43304,GPD2,Q9NYF8,BCLAF1,P60228,EIF3E,P59998,ARPC4,P78371,CCT2
P55884,EIF3B,P07305,H1-0,Q07817,BCL2L1,P06744,GPI,Q9H3H3,C11orf68,P50395,GDI2,P11274,BCR,Q96JB5,CDK5RAP3
P78344,EIF4G2,O00291,HIP1,P53004,BLVRA,Q00341,HDLBP,Q99832,CCT7,O94925,GLS,Q9Y276,BCS1L,Q9UBW8,COPS7A
Q9H9T3,ELP3,Q8NBQ5,HSD17B11,P17655,CAPN2,Q9Y4H2,IRS2,P09669,COX6C,P17275,JUNB,P52907,CAPZA1,P48729,CSNK1A1
