name,majority.protein.x,uniprot.x,species.x,gene.x,uniprot.y,majority.protein.y,species.y,gene.y,CoV.D1.1,CoV.D1.2,CoV.D1.3,CoV.D2.1,CoV.D2.2,CoV.D2.3,Mock1,Mock2,Mock3,ZV1,ZV2,ZV3,DV1,DV2,DV3,FlaviC1,FlaviC2,FlaviC3,rhinovirus,rhino.ctrl,V.Day1.1,V.Day1.2,V.Day1.3,V.Day2.1,V.Day2.2,V.Day2.3,V.Mock1,V.Mock2,V.Mock3,huhcov.d1.enrich.1,huhcov.d1.enrich.2,huhcov.d1.enrich.3,huhcov.d2.enrich.1,huhcov.d2.enrich.2,huhcov.d2.enrich.3,zika.enrich.1,zika.enrich.2,zika.enrich.3,deng.enrich.1,deng.enrich.2,deng.enrich.3,rv.enrich.1,huhcov.d2.enrich.mean,huhcov.d1.enrich.mean,zika.enrich.mean,deng.enrich.mean,vero.d1.enrich.1,vero.d1.enrich.2,vero.d1.enrich.3,vero.d2.enrich.1,vero.d2.enrich.2,vero.d2.enrich.3,vero.d2.enrich.mean,vero.d1.enrich.mean,huh_d2,huh_d1,vero_d2,vero_d1,zika,deng,human_d1d2,monkey_d1d2,sars_sig,huhd1_expanded,huhd2_expanded,verod1_expanded,verod2_expanded,huh_expanded,vero_expanded,sars_expanded,zika_expanded,deng_expanded,rv_expanded,mito,rapms,PPI,vero_crispr_z,vero_crispr_fdr
A0A0D9QUP1_CHLSB,NA,NA,NA,NA,A0A0D9QUP1_CHLSB,tr|A0A0D9QUP1|A0A0D9QUP1_CHLSB,CHLSB,A0A0D9QUP1_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.30942467,10.54722841,13.3279736,9.071304557,9.328716834,12.88836274,12.22487498,12.1214476,10.62662045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3482230019,-1.110419261,1.670325929,-2.586343117,-2.32893084,1.230715067,-1.228186297,0.07056122199,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QUX4_CHLSB,NA,NA,NA,NA,A0A0D9QUX4_CHLSB,tr|A0A0D9QUX4|A0A0D9QUX4_CHLSB,CHLSB,A0A0D9QUX4_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.42460548,11.18845603,9.772915548,11.10105564,12.39381945,9.583272035,13.22442431,12.97562221,10.98158376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03072872284,-1.205420731,-2.620961212,-1.292821116,-5.73E-05,-2.810604725,-1.367827717,-1.26521774,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QW79_CHLSB,NA,NA,NA,NA,A0A0D9QW79_CHLSB,tr|A0A0D9QW79|A0A0D9QW79_CHLSB,CHLSB,A0A0D9QW79_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.73084888,10.39160568,11.44566286,11.15839453,13.4343676,14.62079257,14.63225685,12.6650672,12.15134131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.418706243,-2.757949441,-1.703892264,-1.991160593,0.28481248,1.471237452,-0.0783702203,-2.293515983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QWR2_CHLSB,NA,NA,NA,NA,A0A0D9QWR2_CHLSB,tr|A0A0D9QWR2|A0A0D9QWR2_CHLSB;tr|A0A0D9QWR9|A0A0D9QWR9_CHLSB,CHLSB,A0A0D9QWR2_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.22420734,13.87900881,14.70076481,14.07664861,16.0625943,13.70746699,13.29078842,11.64930695,11.34426403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1294208773,1.784222349,2.605978343,1.981862144,3.967807833,1.61268052,2.520783499,1.506540523,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QWV1_CHLSB,NA,NA,NA,NA,A0A0D9QWV1_CHLSB,tr|A0A0D9QWV1|A0A0D9QWV1_CHLSB,CHLSB,A0A0D9QWV1_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.69721094,14.28727951,14.42239333,13.91643932,13.91970134,13.93433589,13.62302024,12.09727877,11.1760066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.601557595,1.988510972,2.123624796,1.617670788,1.620932802,1.635567354,1.624723648,0.8368593911,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QX21_CHLSB,NA,NA,NA,NA,A0A0D9QX21_CHLSB,tr|A0A0D9QX21|A0A0D9QX21_CHLSB,CHLSB,A0A0D9QX21_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.39316575,11.77625048,12.76661172,13.86050506,13.14181977,14.19121347,12.03534799,11.17264481,12.27102637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4331739764,-0.05008924185,0.9402720024,2.034165335,1.315480044,2.36487375,1.90483971,0.1523362614,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QXE8_CHLSB,NA,NA,NA,NA,A0A0D9QXE8_CHLSB,tr|A0A0D9QXE8|A0A0D9QXE8_CHLSB;tr|A0A0D9QYS5|A0A0D9QYS5_CHLSB,CHLSB,A0A0D9QXE8_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.02578456,17.86960589,18.06560546,18.1187282,18.41662437,15.2068236,12.3940688,11.36286428,13.56090819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.413495868,5.430325466,5.626325038,5.679447779,5.977343945,2.767543171,4.808111632,3.214384879,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QY57_CHLSB,NA,NA,NA,NA,A0A0D9QY57_CHLSB,tr|A0A0D9QY57|A0A0D9QY57_CHLSB,CHLSB,A0A0D9QY57_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22520276,13.31132259,12.86866825,10.71640351,12.92562861,9.492455086,11.6526763,12.8716628,12.32511169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.057947499,1.028172331,0.5855179843,-1.566746755,0.6424783492,-2.790695177,-1.238321194,0.1852476056,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QY94_CHLSB,NA,NA,NA,NA,A0A0D9QY94_CHLSB,tr|A0A0D9QY94|A0A0D9QY94_CHLSB,CHLSB,A0A0D9QY94_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.39713563,19.22646864,20.16692802,20.03536831,19.66068188,20.74509326,17.45683566,18.33463992,17.80819749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.530577937,1.359910951,2.300370327,2.168810623,1.794124195,2.878535569,2.280490129,1.730286405,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
A0A0D9QYA3_CHLSB,NA,NA,NA,NA,A0A0D9QYA3_CHLSB,tr|A0A0D9QYA3|A0A0D9QYA3_CHLSB,CHLSB,A0A0D9QYA3_CHLSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.43892177,16.05877393,16.1816764,16.202009,15.91877009,16.42268898,12.29823439,14.21583631,13.21986257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19427735,2.814129507,2.937031975,2.957364582,2.674125663,3.178044553,2.936511599,2.648479611,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
