Library_Name,rank_within_library,term_name,p_value,z_score,combined_score,overlapping_genes,adjusted_p_value,old_p_value,old_adjusted_p_value
Table_Mining_of_CRISPR_Studies,1,"Supplemental, PMC5111403 (Tablesupplemental)",4.568619511046136e-44,12.300650341228422,1227.5376565077179,"['GPI', 'EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'NUMA1', 'FAF2', 'HDLBP', 'PPAN', 'MRPS10', 'HMGB1', 'ELAVL1', 'EEF1B2', 'APMAP', 'PSMD5', 'PLS3', 'RPL38', 'NELFB', 'RAC1', 'CDK5RAP3', 'LRRC47', 'RBM17', 'CCT2', 'WDR36', 'PARP1', 'ACSL1', 'RPL23', 'RPL22', 'PRPF4B', 'MIF', 'DDX50', 'DDOST', 'HADHA', 'MRPL50', 'MTHFD1', 'EEF1D', 'POLR1C', 'SBDS', 'MCM4', 'NUP98', 'FKBP9', 'SRSF6', 'EZR', 'SNRNP200', 'SLC25A12', 'TKT', 'RAB7A', 'SLC25A13', 'RAB5C', 'TMED10', 'TOMM40', 'AHNAK', 'MVP', 'COPS7A', 'HSD17B10', 'RAB21', 'PRDX5', 'PSMB4', 'PUF60', 'FAM120A', 'ESD', 'MLEC', 'IARS2', 'FLNC', 'IGF2BP2', 'MDN1', 'RBM39', 'GSN', 'YTHDF2', 'CSNK1A1', 'ALYREF', 'ARPC4', 'AP2B1', 'PRRC2A', 'RPS26', 'MOV10', 'ANLN', 'PSMC6', 'EIF6', 'PSMC4', 'PSAT1', 'ARPC3', 'CAPZA1', 'SERBP1', 'CTNNB1', 'INTS7', 'FAU', 'EIF3F', 'PFKP']",6.35038112035413e-42,0,0
Jensen_TISSUES,1,BTO:0005453,2.033656048407611e-39,15.866880350549764,1413.5959746269846,"['EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'PDCD5', 'HDLBP', 'GLS', 'EEF1B2', 'HERC1', 'APMAP', 'PSMD5', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'GGT1', 'CDK5RAP3', 'LIG1', 'ACSL1', 'RPL23', 'RPL22', 'ECH1', 'PRPF4B', 'MIF', 'BCS1L', 'BCR', 'MTHFD1', 'HGS', 'SBDS', 'NUP98', 'SRSF6', 'EZR', 'SNRNP200', 'UBA52', 'RAB5C', 'TMED10', 'MRPL17', 'COPS7A', 'UBR1', 'PRDX5', 'PRKAR2B', 'ESD', 'MLEC', 'ZC3H15', 'MDN1', 'FANCI', 'TRAPPC3', 'API5', 'ALYREF', 'LNPEP', 'ARPC4', 'PRRC2A', 'RPS26', 'MOV10', 'ALDH6A1', 'LSM6', 'EIF6', 'ARPC3', 'INTS7', 'STT3B', 'GPI', 'NUMA1', 'FAF2', 'MRPS10', 'HMGB1', 'ELAVL1', 'AACS', 'UQCRFS1', 'RAC1', 'ACP1', 'GIT1', 'LRRC47', 'RBM17', 'CCT2', 'WDR36', 'ABCC1', 'PARP1', 'DDX50', 'DDOST', 'HADHA', 'MRPL50', 'EEF1D', 'POLR1C', 'MCM4', 'SLC25A12', 'TKT', 'RAB7A', 'SLC25A13', 'TOMM40', 'AHNAK', 'MVP', 'GNAI3', 'HSPA14', 'HSD17B10', 'STRN4', 'NOL6', 'RAB21', 'PSMB4', 'PUF60', 'FAM120A', 'IARS2', 'PCBD1', 'FLNC', 'NOP56', 'RBM39', 'GSN', 'RRM2', 'YTHDF2', 'PKLR', 'CSNK1A1', 'AP2B1', 'PSMC6', 'SUCLA2', 'PSMC4', 'PSAT1', 'CAPZA1', 'SERBP1', 'RAB9A', 'CTNNB1', 'FAU', 'EIF3F', 'PFKP']",7.585537060560388e-37,0,0
Jensen_TISSUES,2,Intestine,2.0318670859380772e-35,9.782191867450832,781.4163859969818,"['EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'PDCD5', 'HDLBP', 'GLS', 'EEF1B2', 'HERC1', 'APMAP', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'CDK5RAP3', 'LIG1', 'RPL23', 'RPL22', 'ECH1', 'PRPF4B', 'MIF', 'BCS1L', 'BCR', 'MTHFD1', 'HGS', 'SBDS', 'NUP98', 'FKBP9', 'SRSF6', 'EZR', 'SNRNP200', 'UBA52', 'RAB5C', 'TMED10', 'COPS7A', 'PRDX5', 'ESD', 'MLEC', 'ZC3H15', 'MDN1', 'FANCI', 'TRAPPC3', 'API5', 'ARPC4', 'PRRC2A', 'DHFR', 'RPS26', 'MOV10', 'ALDH6A1', 'EIF6', 'ARPC3', 'STT3B', 'GPI', 'NUMA1', 'FAF2', 'HMGB1', 'ELAVL1', 'AACS', 'UQCRFS1', 'RAC1', 'ACP1', 'GIT1', 'RBM17', 'CCT2', 'WDR36', 'ABCC1', 'PARP1', 'ELOVL5', 'DDOST', 'HADHA', 'EEF1D', 'MCM4', 'SLC25A12', 'TKT', 'RAB7A', 'TOMM40', 'AHNAK', 'MVP', 'GNAI3', 'HSD17B10', 'STRN4', 'NOL6', 'RAB21', 'PSMB4', 'PUF60', 'FAM120A', 'IARS2', 'PCBD1', 'FLNC', 'NOP56', 'RBM39', 'GSN', 'RRM2', 'YTHDF2', 'CSNK1A1', 'AP2B1', 'PSMC6', 'SUCLA2', 'PSMC4', 'PSAT1', 'CAPZA1', 'SERBP1', 'CTNNB1', 'FAU', 'EIF3F', 'PFKP']",3.789432115274514e-33,0,0
Jensen_TISSUES,3,Gut,3.9049874635281515e-35,13.810186820336462,1094.1565704900192,"['EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'PDCD5', 'HDLBP', 'GLS', 'EEF1B2', 'APMAP', 'PSMD5', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'GGT1', 'CDK5RAP3', 'LIG1', 'ACSL1', 'RPL23', 'RPL22', 'ECH1', 'PRPF4B', 'MIF', 'BCR', 'MTHFD1', 'HGS', 'SBDS', 'NUP98', 'FKBP9', 'SRSF6', 'EZR', 'SNRNP200', 'UBA52', 'RAB5C', 'TMED10', 'MRPL17', 'COPS7A', 'UBR1', 'PRDX5', 'PRKAR2B', 'ESD', 'MLEC', 'ZC3H15', 'FANCI', 'TRAPPC3', 'API5', 'ALYREF', 'LNPEP', 'ARPC4', 'PRRC2A', 'DHFR', 'RPS26', 'MOV10', 'ALDH6A1', 'LSM6', 'EIF6', 'ARPC3', 'INTS7', 'STT3B', 'GPI', 'NUMA1', 'FAF2', 'MRPS10', 'HMGB1', 'ELAVL1', 'UQCRFS1', 'RAC1', 'ACP1', 'GIT1', 'LRRC47', 'RBM17', 'CCT2', 'WDR36', 'ABCC1', 'PARP1', 'ELOVL5', 'DDX50', 'DDOST', 'HADHA', 'MRPL50', 'EEF1D', 'POLR1C', 'MCM4', 'SLC25A12', 'TKT', 'RAB7A', 'SLC25A13', 'TOMM40', 'AHNAK', 'MVP', 'GNAI3', 'HSPA14', 'HSD17B10', 'STRN4', 'NOL6', 'RAB21', 'PSMB4', 'PUF60', 'FAM120A', 'IARS2', 'NCAM1', 'PCBD1', 'FLNC', 'IGF2BP2', 'NOP56', 'RBM39', 'GSN', 'YTHDF2', 'PKLR', 'CSNK1A1', 'AP2B1', 'PSMC6', 'SUCLA2', 'PSMC4', 'PSAT1', 'CAPZA1', 'SERBP1', 'RAB9A', 'CTNNB1', 'FAU', 'EIF3F', 'PFKP']",4.8552010796533345e-33,0,0
Table_Mining_of_CRISPR_Studies,2,"Supplemental, PMC6879830 (Tablesupplemental)",6.219969277789002e-34,8.847066310296551,676.4478242289318,"['GPI', 'EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'PDCD5', 'FAF2', 'MRPS10', 'HMGB1', 'ELAVL1', 'EEF1B2', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'NELFB', 'ACP1', 'LRRC47', 'RBM17', 'CCT2', 'WDR36', 'PARP1', 'RPL23', 'RPL22', 'PRPF4B', 'MIF', 'DDX50', 'DDOST', 'BCR', 'HADHA', 'MRPL50', 'MTHFD1', 'EEF1D', 'POLR1C', 'SBDS', 'MCM4', 'NUP98', 'SRSF6', 'EZR', 'SNRNP200', 'TKT', 'UBA52', 'RAB7A', 'SLC25A13', 'TMED10', 'AHNAK', 'UBR1', 'HSPA14', 'HSD17B10', 'PSMB4', 'PUF60', 'FAM120A', 'ESD', 'TP53BP2', 'MLEC', 'IARS2', 'IGF2BP2', 'ZC3H15', 'FANCI', 'RBM39', 'RRM2', 'YTHDF2', 'CSNK1A1', 'API5', 'ALYREF', 'AP2B1', 'PRRC2A', 'RPS26', 'MOV10', 'ANLN', 'PSMC6', 'LSM6', 'SUCLA2', 'EIF6', 'PSMC4', 'PSAT1', 'ARPC3', 'CAPZA1', 'SERBP1', 'CTNNB1', 'FAU', 'EIF3F']",4.322878648063356e-32,0,0
Jensen_TISSUES,4,Bone,6.9230964830512825e-34,11.145157414083153,850.9665386552746,"['GPI', 'EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'HDLBP', 'HMGB1', 'GLS', 'EEF1B2', 'APMAP', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'RAC1', 'CCT2', 'ELOVL5', 'RPL23', 'RPL22', 'ECH1', 'DDOST', 'HADHA', 'EEF1D', 'NUP98', 'FKBP9', 'EZR', 'SNRNP200', 'TKT', 'UBA52', 'RAB7A', 'RAB5C', 'TMED10', 'AHNAK', 'GNAI3', 'COPS7A', 'PRDX5', 'PSMB4', 'FAM120A', 'MLEC', 'IARS2', 'ZC3H15', 'NOP56', 'RBM39', 'GSN', 'RRM2', 'YTHDF2', 'CSNK1A1', 'API5', 'ARPC4', 'AP2B1', 'PRRC2A', 'RPS26', 'EIF6', 'PSMC4', 'CAPZA1', 'SERBP1', 'FAU', 'STT3B', 'EIF3F', 'PFKP']",6.455787470445321e-32,0,0
Enrichr_Users_Contributed_Lists_2020,1,TARGET os,9.70744323983038e-34,9.332161305725572,709.384243765981,"['GPI', 'EIF4A1', 'RPL30', 'CYBC1', 'RNH1', 'NUMA1', 'PDCD5', 'HDLBP', 'HMGB1', 'EEF1B2', 'APMAP', 'PLS3', 'UQCRFS1', 'RPL38', 'RAC1', 'ACP1', 'CDK5RAP3', 'RBM17', 'CCT2', 'PARP1', 'ELOVL5', 'RPL23', 'RPL22', 'ECH1', 'MIF', 'DDOST', 'HADHA', 'MTHFD1', 'HGS', 'EEF1D', 'POLR1C', 'SBDS', 'MCM4', 'FKBP9', 'SRSF6', 'EZR', 'SNRNP200', 'TKT', 'UBA52', 'RAB7A', 'RAB5C', 'TMED10', 'AHNAK', 'COPS7A', 'HSD17B10', 'PRDX5', 'PSMB4', 'PUF60', 'ESD', 'MLEC', 'NCAM1', 'IGHA1', 'NOP56', 'TRAPPC3', 'RBM39', 'GSN', 'RRM2', 'CSNK1A1', 'ALYREF', 'ARPC4', 'PRRC2A', 'RPS26', 'MOV10', 'PSMC6', 'EIF6', 'PSMC4', 'ARPC3', 'CAPZA1', 'SERBP1', 'CTNNB1', 'FAU', 'STT3B', 'EIF3F']",9.357975283196487e-31,0,0
Jensen_TISSUES,5,BTO:0004410,4.3544624685972325e-32,16.47964640401615,1190.0203455877288,"['EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'PDCD5', 'HDLBP', 'GLS', 'EEF1B2', 'HERC1', 'APMAP', 'PSMD5', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'GGT1', 'CDK5RAP3', 'LIG1', 'ACSL1', 'RPL23', 'RPL22', 'ECH1', 'PRPF4B', 'MIF', 'BCS1L', 'BCR', 'MTHFD1', 'HGS', 'SBDS', 'NUP98', 'SRSF6', 'EZR', 'SNRNP200', 'UBA52', 'RAB5C', 'TMED10', 'MRPL17', 'COPS7A', 'UBR1', 'PRDX5', 'PRKAR2B', 'ESD', 'TP53BP2', 'MLEC', 'ZC3H15', 'MDN1', 'FANCI', 'TRAPPC3', 'API5', 'ALYREF', 'LNPEP', 'ARPC4', 'PRRC2A', 'DHFR', 'RPS26', 'MOV10', 'ALDH6A1', 'LSM6', 'EIF6', 'ARPC3', 'INTS7', 'STT3B', 'GPI', 'NUMA1', 'FAF2', 'MRPS10', 'HMGB1', 'ELAVL1', 'AACS', 'UQCRFS1', 'RAC1', 'ACP1', 'GIT1', 'LRRC47', 'RBM17', 'CCT2', 'WDR36', 'ABCC1', 'PARP1', 'ELOVL5', 'DDX50', 'DDOST', 'HADHA', 'MRPL50', 'EEF1D', 'POLR1C', 'MCM4', 'SLC25A12', 'TKT', 'RAB7A', 'SLC25A13', 'TOMM40', 'AHNAK', 'MVP', 'GNAI3', 'HSPA14', 'HSD17B10', 'STRN4', 'NOL6', 'RAB21', 'PSMB4', 'PUF60', 'FAM120A', 'IARS2', 'NCAM1', 'PCBD1', 'FLNC', 'IGF2BP2', 'NOP56', 'RBM39', 'GSN', 'RRM2', 'YTHDF2', 'PKLR', 'CSNK1A1', 'AP2B1', 'PSMC6', 'SUCLA2', 'PSMC4', 'PSAT1', 'CAPZA1', 'SERBP1', 'RAB9A', 'CTNNB1', 'FAU', 'EIF3F', 'PFKP']",3.248429001573535e-30,0,0
Jensen_TISSUES,6,Monocyte,7.051181121110336e-32,10.756270495435611,771.542203936573,"['EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'PDCD5', 'HDLBP', 'EEF1B2', 'APMAP', 'PSMD5', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'GGT1', 'CDK5RAP3', 'ACSL1', 'RPL23', 'RPL22', 'ECH1', 'PRPF4B', 'MIF', 'BCS1L', 'BCR', 'MTHFD1', 'HGS', 'SBDS', 'NUP98', 'SRSF6', 'EZR', 'SNRNP200', 'UBA52', 'RAB5C', 'TMED10', 'MRPL17', 'COPS7A', 'UBR1', 'PRDX5', 'PRKAR2B', 'ESD', 'TP53BP2', 'MLEC', 'ZC3H15', 'MDN1', 'FANCI', 'TRAPPC3', 'API5', 'ALYREF', 'LNPEP', 'ARPC4', 'PRRC2A', 'DHFR', 'RPS26', 'ALDH6A1', 'LSM6', 'EIF6', 'ARPC3', 'STT3B', 'GPI', 'NUMA1', 'FAF2', 'MRPS10', 'HMGB1', 'ELAVL1', 'AACS', 'UQCRFS1', 'RAC1', 'ACP1', 'GIT1', 'LRRC47', 'RBM17', 'CCT2', 'ABCC1', 'PARP1', 'ELOVL5', 'DDX50', 'DDOST', 'HADHA', 'MRPL50', 'EEF1D', 'POLR1C', 'MCM4', 'SLC25A12', 'TKT', 'RAB7A', 'SLC25A13', 'TOMM40', 'AHNAK', 'MVP', 'GNAI3', 'HSPA14', 'HSD17B10', 'STRN4', 'NOL6', 'RAB21', 'PSMB4', 'PUF60', 'FAM120A', 'IARS2', 'PCBD1', 'FLNC', 'IGF2BP2', 'NOP56', 'RBM39', 'GSN', 'YTHDF2', 'PKLR', 'CSNK1A1', 'AP2B1', 'PSMC6', 'SUCLA2', 'PSMC4', 'CAPZA1', 'SERBP1', 'RAB9A', 'CTNNB1', 'FAU', 'EIF3F', 'PFKP']",4.383484263623592e-30,0,0
Jensen_TISSUES,7,Parenchyma,2.2845046163923085e-31,8.12045998200452,572.930841647155,"['EIF4A1', 'NCKAP1', 'RPL30', 'RNH1', 'PDCD5', 'HDLBP', 'GLS', 'EEF1B2', 'APMAP', 'PSMD5', 'CHORDC1', 'PMPCB', 'PLS3', 'RPL38', 'CDK5RAP3', 'RPL23', 'RPL22', 'ECH1', 'MIF', 'BCS1L', 'BCR', 'MTHFD1', 'HGS', 'FKBP9', 'SRSF6', 'EZR', 'SNRNP200', 'UBA52', 'RAB5C', 'TMED10', 'MRPL17', 'COPS7A', 'UBR1', 'PRDX5', 'ESD', 'TP53BP2', 'MLEC', 'ZC3H15', 'TRAPPC3', 'API5', 'ARPC4', 'DHFR', 'RPS26', 'ALDH6A1', 'LSM6', 'EIF6', 'ARPC3', 'GPI', 'FAF2', 'MRPS10', 'ELAVL1', 'UQCRFS1', 'RAC1', 'ACP1', 'GIT1', 'LRRC47', 'RBM17', 'CCT2', 'ABCC1', 'PARP1', 'ELOVL5', 'DDX50', 'DDOST', 'HADHA', 'MRPL50', 'EEF1D', 'TKT', 'RAB7A', 'SLC25A13', 'TOMM40', 'AHNAK', 'MVP', 'GNAI3', 'HSPA14', 'STRN4', 'NOL6', 'PSMB4', 'PUF60', 'FAM120A', 'IARS2', 'IGF2BP2', 'NOP56', 'RBM39', 'GSN', 'RRM2', 'YTHDF2', 'PKLR', 'CSNK1A1', 'AP2B1', 'PSMC6', 'SUCLA2', 'PSMC4', 'PSAT1', 'CAPZA1', 'SERBP1', 'RAB9A', 'CTNNB1', 'FAU', 'EIF3F', 'PFKP']",1.2173146027347586e-29,0,0
