Library_Name,rank_within_library,term_name,p_value,z_score,combined_score,overlapping_genes,adjusted_p_value,old_p_value,old_adjusted_p_value
Table_Mining_of_CRISPR_Studies,1,"Supplemental, PMC5111403 (Tablesupplemental)",5.81E-12,inf,inf,"['STAT1', 'ALYREF', 'AKR1A1', 'YLPM1', 'ELAVL1', 'SLTM', 'KHSRP', 'FAM120A', 'IGF2BP2', 'PABPC1', 'TNPO1', 'SRSF6', 'RBMX']",1.05E-10,0,0
Pfam_Domains_2019,1,RRM 1,1.81E-11,116.0100503,2869.656435,"['SLTM', 'ALYREF', 'IGF2BP2', 'PABPC1', 'SRSF6', 'ELAVL1', 'RBMX']",1.08E-10,0,0
InterPro_Domains_2019,1,RNA recognition motif domain,3.16E-11,106.7878086,2581.890235,"['SLTM', 'ALYREF', 'IGF2BP2', 'PABPC1', 'SRSF6', 'ELAVL1', 'RBMX']",4.11E-10,0,0
GO_Molecular_Function_2018,1,RNA binding (GO:0003723),1.18E-11,74.38989826,1872.052361,"['SLTM', 'ALYREF', 'KHSRP', 'FAM120A', 'YLPM1', 'IGF2BP2', 'PABPC1', 'TNPO1', 'SRSF6', 'ELAVL1', 'RBMX']",4.83E-10,0,0
Table_Mining_of_CRISPR_Studies,2,"Supplemental, PMC6879830 (Tablesupplemental)",1.38E-09,68.48456376,1397.056344,"['SLTM', 'STAT1', 'ALYREF', 'KHSRP', 'FAM120A', 'YLPM1', 'IGF2BP2', 'PABPC1', 'TNPO1', 'SRSF6', 'ELAVL1', 'RBMX']",1.24E-08,0,0
NURSA_Human_Endogenous_Complexome,1,SC-126 (TP53),1.11E-10,66.87794433,1533.129415,"['KHSRP', 'FAM120A', 'YLPM1', 'IGF2BP2', 'PABPC1', 'TNPO1', 'ELAVL1', 'RBMX']",8.08E-08,0,0
Enrichr_Submissions_TF-Gene_Coocurrence,1,ZNF326,2.47E-10,78.69006849,1740.673843,"['SLTM', 'KHSRP', 'YLPM1', 'PABPC1', 'TNPO1', 'SRSF6', 'RBMX']",2.25E-07,0,0
Enrichr_Users_Contributed_Lists_2020,1,o-glcnac,7.38E-10,72.87048832,1532.225117,"['SLTM', 'STAT1', 'ALYREF', 'KHSRP', 'FAM120A', 'AKR1A1', 'YLPM1', 'IGF2BP2', 'PABPC1', 'TNPO1', 'ELAVL1', 'RBMX']",2.97E-07,0,0
Virus-Host_PPI_P-HIPSTer_2020,1,Human adenovirus 7 100K,1.11E-10,137.3018433,3147.207914,"['SLTM', 'STAT1', 'ALYREF', 'PABPC1', 'SRSF6', 'ELAVL1']",4.43E-07,0,0
Virus-Host_PPI_P-HIPSTer_2020,2,Human adenovirus 21a 100 kDa hexon-assembly associated protein (gene: L4),1.90E-10,125.1113445,2800.698513,"['STAT1', 'ALYREF', 'PABPC1', 'SRSF6', 'ELAVL1', 'RBMX']",4.43E-07,0,0
Virus-Host_PPI_P-HIPSTer_2020,3,Human adenovirus 68 100 kDa hexon assembly-associated protein (gene: L4),2.64E-10,118.1130952,2604.798373,"['STAT1', 'ALYREF', 'PABPC1', 'SRSF6', 'ELAVL1', 'RBMX']",4.43E-07,0,0
Pfam_InterPro_Domains,1,RRM RNP1,8.88E-08,66.89864865,1086.220581,"['SLTM', 'IGF2BP2', 'PABPC1', 'ELAVL1', 'RBMX']",4.44E-07,0,0
PPI_Hub_Proteins,1,HNRNPA1,1.33E-08,99.31,1801.379178,"['KHSRP', 'IGF2BP2', 'PABPC1', 'TNPO1', 'RBMX']",1.25E-06,0,0
GO_Molecular_Function_2018,2,mRNA 3'-UTR binding (GO:0003730),6.26E-08,150.1167608,2490.028205,"['KHSRP', 'IGF2BP2', 'PABPC1', 'ELAVL1']",1.28E-06,0,0
Enrichr_Submissions_TF-Gene_Coocurrence,2,AKAP8,1.67E-08,57.61287177,1031.778459,"['SLTM', 'STAT1', 'KHSRP', 'PABPC1', 'SRSF6', 'RBMX']",2.17E-06,0,0
