symbol_id_A,unique_protein_id_A,species_A,interactor_B,species_B,cell_line,hour,study,interaction_type
AP3B1,O00203,Homo sapiens,E,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
BRD4,O60885,Homo sapiens,E,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
BRD2,P25440,Homo sapiens,E,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
CWC27,Q6UX04,Homo sapiens,E,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ZC3H18,Q86VM9,Homo sapiens,E,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SLC44A2,Q8IWA5,Homo sapiens,E,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PMPCB,O75439,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
YIF1A,O95070,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ATP1B1,P05026,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ACADM,P11310,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ETFA,P13804,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
STOM,P27105,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
GGCX,P38435,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ATP6V1A,P38606,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PSMD8,P48556,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
REEP5,Q00765,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PMPCA,Q10713,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
ANO6,Q4KMQ2,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
PITRM1,Q5JRX3,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SLC30A9,Q6PML9,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
FASTKD5,Q7L8L6,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SLC30A7,Q8NEW0,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
TUBGCP3,Q96CW5,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
COQ8B,Q8IYH5,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
SAAL1,Q96ER3,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
REEP6,Q96HR9,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
INTS4,Q96HW7,Homo sapiens,M,Severe acute respiratory syndrome coronavirus 2,-,-,Gordon DE (2020),Protein Protein
