unique_protein_id_A,symbol_id_A,species_A,unique_protein_id_B,symbol_id_B,species_B,cell_line,hour,study,interaction_type
P60228,EIF3E,homo sapien,P48634,PRRC2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P48634,PRRC2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P48634,PRRC2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P67809,YBX1,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P49327,FASN,homo sapien,P49327,FASN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15424,SAFB,homo sapien,Q14151,SAFB2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P48634,PRRC2A,homo sapien,P60228,EIF3E,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P48634,PRRC2A,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P48634,PRRC2A,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61457,PCBD1,homo sapien,P61457,PCBD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q01844,EWSR1,homo sapien,P49327,FASN,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P61978,HNRNPK,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61457,PCBD1,homo sapien,P51116,FXR2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P43243,MATR3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,Q92841,DDX17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
