interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
aasdhppt,mdfi,human,human,1,human-human
aasdhppt,traf2,human,human,1,human-human
aasdhppt,usp22,human,human,1,human-human
aasdhppt,babam1,human,human,1,human-human
aasdhppt,paxip1,human,human,1,human-human
aasdhppt,fbxo6,human,human,1,human-human
aasdhppt,capza2,human,human,1,human-human
aasdhppt,sgta,human,human,1,human-human
aasdhppt,trip13,human,human,1,human-human
aasdhppt,ehd1,human,human,1,human-human
aasdhppt,ehd4,human,human,1,human-human
aasdhppt,hnrnph1,human,human,1,human-human
aasdhppt,nol3,human,human,1,human-human
aasdhppt,plcg1,human,human,1,human-human
aasdhppt,zc3hc1,human,human,1,human-human
aasdhppt,siah1,human,human,1,human-human
aasdhppt,mov10,human,human,1,human-human
aasdhppt,nxf1,human,human,1,human-human
aasdhppt,stil,human,human,1,human-human
aasdhppt,potei,human,human,1,human-human
aasdhppt,adss2,human,human,1,human-human
aasdhppt,dazap1,human,human,1,human-human
aasdhppt,hnrnpa1,human,human,1,human-human
aasdhppt,mov10l1,human,human,1,human-human
aasdhppt,rae1,human,human,1,human-human
aasdhppt,ube2d2,human,human,1,human-human
aasdhppt,umps,human,human,1,human-human
aasdhppt,trappc4,human,human,1,human-human
aasdhppt,ntrk1,human,human,1,human-human
aasdhppt,mtmr14,human,human,1,human-human
aasdhppt,angptl4,human,human,1,human-human
aasdhppt,ppp1r3c,human,human,1,human-human
aasdhppt,dld,human,human,1,human-human
aasdhppt,sod1,human,human,1,human-human
aasdhppt,egln3,human,human,1,human-human
aasdhppt,wwox,human,human,1,human-human
aasdhppt,recql4,human,human,1,human-human
aasdhppt,nr2c2,human,human,1,human-human
aasdhppt,phpt1,human,human,1,human-human
aasdhppt,crx,human,human,1,human-human
aasdhppt,efhc2,human,human,1,human-human
aasdhppt,hscb,human,human,1,human-human
aasdhppt,nmral1,human,human,1,human-human
ppp1r3c,nhlrc1,human,human,2,human-human
ppp1r3c,sgta,human,human,2,human-human
ppp1r3c,ppp1ca,human,human,2,human-human
ppp1r3c,elavl1,human,human,2,human-human
ppp1r3c,app,human,human,2,human-human
ppp1r3c,ppp1cc,human,human,2,human-human
ppp1r3c,ppp1cb,human,human,2,human-human
ppp1r3c,gys2,human,human,2,human-human
ppp1r3c,gys1,human,human,2,human-human
ppp1r3c,stbd1,human,human,2,human-human
ppp1r3c,txnrd2,human,human,2,human-human
ppp1r3c,lacrt,human,human,2,human-human
ppp1r3c,gyg1,human,human,2,human-human
ppp1r3c,eea1,human,human,2,human-human
ppp1r3c,ppp1r3d,human,human,2,human-human
ppp1r3c,gng5,human,human,2,human-human
ppp1r3c,myo1c,human,human,2,human-human
ppp1r3c,myo1b,human,human,2,human-human
ppp1r3c,phkg2,human,human,2,human-human
ppp1r3c,dbn1,human,human,2,human-human
ppp1r3c,phkb,human,human,2,human-human
ppp1r3c,actbl2,human,human,2,human-human
ppp1r3c,tpm4,human,human,2,human-human
ppp1r3c,lima1,human,human,2,human-human
ppp1r3c,myo6,human,human,2,human-human
ppp1r3c,lxn,human,human,2,human-human
ppp1r3c,lonrf1,human,human,2,human-human
mov10l1,agr2,human,human,2,human-human
angptl4,smarca4,human,human,2,human-human
angptl4,actb,human,human,2,human-human
angptl4,kat5,human,human,2,human-human
angptl4,myc,human,human,2,human-human
angptl4,aurka,human,human,2,human-human
angptl4,brms1,human,human,2,human-human
angptl4,casp8,human,human,2,human-human
angptl4,cdkn2c,human,human,2,human-human
angptl4,esr1,human,human,2,human-human
angptl4,fbxw7,human,human,2,human-human
angptl4,fgfr4,human,human,2,human-human
angptl4,tgfb1,human,human,2,human-human
angptl4,wdr47,human,human,2,human-human
angptl4,nmt2,human,human,2,human-human
angptl4,pm20d2,human,human,2,human-human
angptl4,nmt1,human,human,2,human-human
angptl4,itih2,human,human,2,human-human
angptl4,armc8,human,human,2,human-human
angptl4,dnajb4,human,human,2,human-human
angptl4,cdca5,human,human,2,human-human
gys2,tnfrsf1a,human,human,3,human-human
gys2,gyg2,human,human,3,human-human
gys2,ppp1r3b,human,human,3,human-human
gys2,ppp1r3c,human,human,3,human-human
gys2,ppp1ca,human,human,3,human-human
gys2,stbd1,human,human,3,human-human
gys2,tp53,human,human,3,human-human
gys2,mdm2,human,human,3,human-human
gys2,kif20a,human,human,3,human-human
itih2,atp5f1c,human,human,3,human-human
itih2,spint2,human,human,3,human-human
itih2,fn1,human,human,3,human-human
itih2,egfr,human,human,3,human-human
itih2,nxph2,human,human,3,human-human
itih2,gdpd1,human,human,3,human-human
itih2,ceacam21,human,human,3,human-human
itih2,fgf10,human,human,3,human-human
itih2,tnf,human,human,3,human-human
itih2,dkkl1,human,human,3,human-human
itih2,fcgr1a,human,human,3,human-human
itih2,uggt2,human,human,3,human-human
itih2,zg16b,human,human,3,human-human
itih2,lipg,human,human,3,human-human
