interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
aasdhppt,mdfi,human,human,1,human-human
aasdhppt,traf2,human,human,1,human-human
aasdhppt,usp22,human,human,1,human-human
aasdhppt,babam1,human,human,1,human-human
aasdhppt,paxip1,human,human,1,human-human
aasdhppt,fbxo6,human,human,1,human-human
aasdhppt,capza2,human,human,1,human-human
aasdhppt,sgta,human,human,1,human-human
aasdhppt,trip13,human,human,1,human-human
aasdhppt,ehd1,human,human,1,human-human
aasdhppt,ehd4,human,human,1,human-human
aasdhppt,hnrnph1,human,human,1,human-human
aasdhppt,nol3,human,human,1,human-human
aasdhppt,plcg1,human,human,1,human-human
aasdhppt,zc3hc1,human,human,1,human-human
aasdhppt,siah1,human,human,1,human-human
aasdhppt,mov10,human,human,1,human-human
aasdhppt,nxf1,human,human,1,human-human
aasdhppt,stil,human,human,1,human-human
aasdhppt,potei,human,human,1,human-human
aasdhppt,adss2,human,human,1,human-human
aasdhppt,dazap1,human,human,1,human-human
aasdhppt,hnrnpa1,human,human,1,human-human
aasdhppt,mov10l1,human,human,1,human-human
aasdhppt,rae1,human,human,1,human-human
aasdhppt,ube2d2,human,human,1,human-human
aasdhppt,umps,human,human,1,human-human
aasdhppt,trappc4,human,human,1,human-human
aasdhppt,ntrk1,human,human,1,human-human
aasdhppt,mtmr14,human,human,1,human-human
aasdhppt,angptl4,human,human,1,human-human
aasdhppt,ppp1r3c,human,human,1,human-human
aasdhppt,dld,human,human,1,human-human
aasdhppt,sod1,human,human,1,human-human
aasdhppt,egln3,human,human,1,human-human
aasdhppt,wwox,human,human,1,human-human
aasdhppt,recql4,human,human,1,human-human
aasdhppt,nr2c2,human,human,1,human-human
aasdhppt,phpt1,human,human,1,human-human
aasdhppt,crx,human,human,1,human-human
aasdhppt,efhc2,human,human,1,human-human
aasdhppt,hscb,human,human,1,human-human
aasdhppt,nmral1,human,human,1,human-human
zc3hc1,ccnb1,human,human,2,human-human
zc3hc1,skp1,human,human,2,human-human
zc3hc1,cul1,human,human,2,human-human
zc3hc1,rbx1,human,human,2,human-human
zc3hc1,tnfsf11,human,human,2,human-human
zc3hc1,pdpk1,human,human,2,human-human
zc3hc1,tsc22d1,human,human,2,human-human
zc3hc1,alk,human,human,2,human-human
zc3hc1,app,human,human,2,human-human
zc3hc1,ehd4,human,human,2,human-human
zc3hc1,gtf3c4,human,human,2,human-human
zc3hc1,hnrnpa1,human,human,2,human-human
zc3hc1,pfkl,human,human,2,human-human
zc3hc1,rpl38,human,human,2,human-human
zc3hc1,trip13,human,human,2,human-human
zc3hc1,fzr1,human,human,2,human-human
zc3hc1,mapk3,human,human,2,human-human
zc3hc1,mapk1,human,human,2,human-human
zc3hc1,mindy3,human,human,2,human-human
zc3hc1,atp6v1c2,human,human,2,human-human
zc3hc1,grn,human,human,2,human-human
zc3hc1,h2bc10,human,human,2,human-human
zc3hc1,cdc5l,human,human,2,human-human
zc3hc1,ywhae,human,human,2,human-human
zc3hc1,nxf2b,human,human,2,human-human
zc3hc1,plk1,human,human,2,human-human
zc3hc1,sass6,human,human,2,human-human
zc3hc1,gpx7,human,human,2,human-human
zc3hc1,tpr,human,human,2,human-human
zc3hc1,tafa3,human,human,2,human-human
zc3hc1,srbd1,human,human,2,human-human
zc3hc1,etnppl,human,human,2,human-human
zc3hc1,sall2,human,human,2,human-human
zc3hc1,plekha4,human,human,2,human-human
zc3hc1,prkcb,human,human,2,human-human
zc3hc1,trim55,human,human,2,human-human
zc3hc1,trim63,human,human,2,human-human
zc3hc1,bcar1,human,human,2,human-human
mov10l1,agr2,human,human,2,human-human
ppp1r3c,nhlrc1,human,human,2,human-human
ppp1r3c,sgta,human,human,2,human-human
ppp1r3c,ppp1ca,human,human,2,human-human
ppp1r3c,elavl1,human,human,2,human-human
ppp1r3c,app,human,human,2,human-human
ppp1r3c,ppp1cc,human,human,2,human-human
ppp1r3c,ppp1cb,human,human,2,human-human
ppp1r3c,gys2,human,human,2,human-human
ppp1r3c,gys1,human,human,2,human-human
ppp1r3c,stbd1,human,human,2,human-human
ppp1r3c,txnrd2,human,human,2,human-human
ppp1r3c,lacrt,human,human,2,human-human
ppp1r3c,gyg1,human,human,2,human-human
ppp1r3c,eea1,human,human,2,human-human
ppp1r3c,ppp1r3d,human,human,2,human-human
ppp1r3c,gng5,human,human,2,human-human
ppp1r3c,myo1c,human,human,2,human-human
ppp1r3c,myo1b,human,human,2,human-human
ppp1r3c,phkg2,human,human,2,human-human
ppp1r3c,dbn1,human,human,2,human-human
ppp1r3c,phkb,human,human,2,human-human
ppp1r3c,actbl2,human,human,2,human-human
ppp1r3c,tpm4,human,human,2,human-human
ppp1r3c,lima1,human,human,2,human-human
ppp1r3c,myo6,human,human,2,human-human
ppp1r3c,lxn,human,human,2,human-human
ppp1r3c,lonrf1,human,human,2,human-human
nol3,sirpa,human,human,2,human-human
