interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
cadps2,ube2d1,human,human,1,human-human
cadps2,ube2d2,human,human,1,human-human
cadps2,ube2d3,human,human,1,human-human
cadps2,ube2d4,human,human,1,human-human
cadps2,ube2e1,human,human,1,human-human
cadps2,ube2e3,human,human,1,human-human
cadps2,ube2n,human,human,1,human-human
cadps2,ube2u,human,human,1,human-human
cadps2,ube2w,human,human,1,human-human
cadps2,asb6,human,human,1,human-human
cadps2,asb12,human,human,1,human-human
cadps2,tspoap1,human,human,1,human-human
cadps2,srpk2,human,human,1,human-human
cadps2,tex45,human,human,1,human-human
cadps2,cluap1,human,human,1,human-human
tspoap1,cacna1a,human,human,2,human-human
tspoap1,khdrbs1,human,human,2,human-human
tspoap1,ankrd11,human,human,2,human-human
tspoap1,arnt2,human,human,2,human-human
tspoap1,disc1,human,human,2,human-human
tspoap1,dlx2,human,human,2,human-human
tspoap1,bend5,human,human,2,human-human
tspoap1,cep76,human,human,2,human-human
tspoap1,gprasp2,human,human,2,human-human
tspoap1,rel,human,human,2,human-human
tspoap1,tcf4,human,human,2,human-human
tspoap1,tsc22d4,human,human,2,human-human
tspoap1,dlgap2,human,human,2,human-human
tspoap1,kif1a,human,human,2,human-human
tspoap1,mvp,human,human,2,human-human
tspoap1,nde1,human,human,2,human-human
tspoap1,rapgef4,human,human,2,human-human
tspoap1,cd244,human,human,2,human-human
tspoap1,h1-2,human,human,2,human-human
tspoap1,h2bc10,human,human,2,human-human
asb12,cul5,human,human,2,human-human
asb12,rnf7,human,human,2,human-human
asb12,lztr1,human,human,2,human-human
asb12,pfn1,human,human,2,human-human
asb12,pfn2,human,human,2,human-human
asb12,actb,human,human,2,human-human
asb12,eloc,human,human,2,human-human
asb12,elob,human,human,2,human-human
asb12,dhx38,human,human,2,human-human
asb12,sfpq,human,human,2,human-human
asb12,myh10,human,human,2,human-human
asb12,rpl38,human,human,2,human-human
asb12,rbm10,human,human,2,human-human
asb12,prdx6,human,human,2,human-human
asb12,srrt,human,human,2,human-human
asb12,mthfd1l,human,human,2,human-human
asb12,rbm6,human,human,2,human-human
asb12,tufm,human,human,2,human-human
asb12,ckb,human,human,2,human-human
asb12,dhx36,human,human,2,human-human
asb12,pfkfb3,human,human,2,human-human
asb12,nudt21,human,human,2,human-human
asb12,fgg,human,human,2,human-human
asb12,krt8,human,human,2,human-human
asb12,rcn2,human,human,2,human-human
asb12,aifm1,human,human,2,human-human
asb12,glo1,human,human,2,human-human
asb12,hsd3b7,human,human,2,human-human
asb12,leng1,human,human,2,human-human
asb12,ephb6,human,human,2,human-human
asb12,tlx3,human,human,2,human-human
asb12,klhl38,human,human,2,human-human
asb12,hgs,human,human,2,human-human
asb12,tsen15,human,human,2,human-human
tex45,wdr47,human,human,2,human-human
tex45,ubr3,human,human,2,human-human
tex45,ankfy1,human,human,2,human-human
tex45,fam83h,human,human,2,human-human
tex45,brca2,human,human,2,human-human
tex45,lonp1,human,human,2,human-human
tex45,klhl23,human,human,2,human-human
tex45,hspa8,human,human,2,human-human
tex45,ptprd,human,human,2,human-human
tex45,tarbp1,human,human,2,human-human
tex45,ppp2r2d,human,human,2,human-human
tex45,hapln3,human,human,2,human-human
tex45,fgfr1,human,human,2,human-human
tex45,nek6,human,human,2,human-human
tex45,tekt3,human,human,2,human-human
tex45,armc7,human,human,2,human-human
tex45,cysrt1,human,human,2,human-human
hapln3,taz,human,human,3,human-human
hapln3,susd4,human,human,3,human-human
hapln3,a2m,human,human,3,human-human
hapln3,chac2,human,human,3,human-human
hapln3,lsm5,human,human,3,human-human
hapln3,mgat4c,human,human,3,human-human
hapln3,odaph,human,human,3,human-human
hapln3,fut3,human,human,3,human-human
hapln3,b4gat1,human,human,3,human-human
hapln3,hspa5,human,human,3,human-human
hapln3,tex45,human,human,3,human-human
hapln3,armc8,human,human,3,human-human
hapln3,tradd,human,human,3,human-human
hapln3,tnip1,human,human,3,human-human
hapln3,birc2,human,human,3,human-human
