interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
tex45,wdr47,human,human,1,human-human
tex45,ubr3,human,human,1,human-human
tex45,ankfy1,human,human,1,human-human
tex45,fam83h,human,human,1,human-human
tex45,cadps2,human,human,1,human-human
tex45,brca2,human,human,1,human-human
tex45,lonp1,human,human,1,human-human
tex45,klhl23,human,human,1,human-human
tex45,hspa8,human,human,1,human-human
tex45,ptprd,human,human,1,human-human
tex45,tarbp1,human,human,1,human-human
tex45,ppp2r2d,human,human,1,human-human
tex45,hapln3,human,human,1,human-human
tex45,fgfr1,human,human,1,human-human
tex45,nek6,human,human,1,human-human
tex45,tekt3,human,human,1,human-human
tex45,armc7,human,human,1,human-human
tex45,cysrt1,human,human,1,human-human
cadps2,ube2d1,human,human,2,human-human
cadps2,ube2d2,human,human,2,human-human
cadps2,ube2d3,human,human,2,human-human
cadps2,ube2d4,human,human,2,human-human
cadps2,ube2e1,human,human,2,human-human
cadps2,ube2e3,human,human,2,human-human
cadps2,ube2n,human,human,2,human-human
cadps2,ube2u,human,human,2,human-human
cadps2,ube2w,human,human,2,human-human
cadps2,asb6,human,human,2,human-human
cadps2,asb12,human,human,2,human-human
cadps2,tspoap1,human,human,2,human-human
cadps2,srpk2,human,human,2,human-human
cadps2,cluap1,human,human,2,human-human
hapln3,taz,human,human,2,human-human
hapln3,susd4,human,human,2,human-human
hapln3,a2m,human,human,2,human-human
hapln3,chac2,human,human,2,human-human
hapln3,lsm5,human,human,2,human-human
hapln3,mgat4c,human,human,2,human-human
hapln3,odaph,human,human,2,human-human
hapln3,fut3,human,human,2,human-human
hapln3,b4gat1,human,human,2,human-human
hapln3,hspa5,human,human,2,human-human
hapln3,armc8,human,human,2,human-human
hapln3,tradd,human,human,2,human-human
hapln3,tnip1,human,human,2,human-human
hapln3,birc2,human,human,2,human-human
chac2,app,human,human,3,human-human
chac2,dpyd,human,human,3,human-human
chac2,fsd1,human,human,3,human-human
chac2,nfkbia,human,human,3,human-human
chac2,cdkn2aip,human,human,3,human-human
chac2,hapln3,human,human,3,human-human
hspa5,nsp4,human,virus,4,human-virus
tnip1,orf3a,human,virus,4,human-virus
fgfr1,orf3a,human,virus,4,human-virus
b4gat1,orf7b,human,virus,4,human-virus
hspa5,nsp2,human,virus,4,human-virus
hspa8,e,human,virus,4,human-virus
app,e,human,virus,4,human-virus
hspa8,m,human,virus,4,human-virus
app,m,human,virus,4,human-virus
srpk2,n,human,virus,4,human-virus
fam83h,nsp13,human,virus,4,human-virus
hspa8,nsp4,human,virus,4,human-virus
app,nsp4,human,virus,4,human-virus
app,nsp6,human,virus,4,human-virus
ubr3,nsp7,human,virus,4,human-virus
ubr3,nsp8,human,virus,4,human-virus
brca2,nsp8,human,virus,4,human-virus
brca2,orf14,human,virus,4,human-virus
app,orf3b,human,virus,4,human-virus
app,orf7a,human,virus,4,human-virus
app,orf7b,human,virus,4,human-virus
b4gat1,orf8,human,virus,4,human-virus
hspa5,orf8,human,virus,4,human-virus
app,orf8,human,virus,4,human-virus
lonp1,orf9b,human,virus,4,human-virus
hspa8,nsp12,human,virus,4,human-virus
tnip1,nsp12,human,virus,4,human-virus
brca2,nsp7,human,virus,4,human-virus
tnip1,nsp7,human,virus,4,human-virus
lonp1,orf14,human,virus,4,human-virus
tarbp1,orf7a,human,virus,4,human-virus
fsd1,orf8,human,virus,4,human-virus
hspa5,e,human,virus,4,human-virus
hspa5,orf7a,human,virus,4,human-virus
hspa5,s,human,virus,4,human-virus
lonp1,orf8,human,virus,4,human-virus
