id,adj.P.Val.SCoV2.over.RMRP,Log.P.Value.SCoV2.over.RMRP,logFC.SCoV2.over.RMRP,P.Value.SCoV2.over.RMRP,RMRP rep2 ratio,RMRP rep1 ratio,SCoV2 rep2 ratio,SCoV2 rep1 ratio,accession_number,geneSymbol,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,totalIntensity,entry_name
NP_003642.3,0.2204540308,10.54933175,4.904257559,0.08811844499,-3.824673352,-0.197387727,3.289938719,2.49651532,NP_003642.3,YBX3,3,13,1,NP_003642.3,HOMO SAPIENS,45.6,23,23.2,231.28,18.38,1.69E+08, Y-box-binding protein 3 isoform a GN=YBX3
NP_001120665.1,0.0001107055391,60.51603076,3.939614747,0.0000008879671992,,-1.783387727,2.424938719,1.88751532,NP_001120665.1,CNBP,1,9,1,NP_001120665.1|NP_001120667.1,HOMO SAPIENS,52.2,79,79.2,123.53,14.78,1.33E+06, cellular nucleic acid-binding protein isoform 2 GN=CNBP
NP_001238968.1,0.3121006932,8.042535729,3.626257559,0.1569446179,-3.731673352,0.041612273,1.903938719,1.65851532,NP_001238968.1,RAB5C,2,2,2,NP_001238968.1|NP_004574.2,HOMO SAPIENS,9.6,255,255.1,40.37,40.37,7.72E+07, ras-related protein Rab-5C isoform b GN=RAB5C
YP_009742613.1,0.0002901375802,54.27008929,3.407614747,0.000003741028971,,-0.205387727,3.379938719,3.02451532,YP_009742613.1,nsp6,1,1,1,YP_009742613.1,SARSCOV2_NC_045512.2,2.4,613,613.1,14.8,14.8,1.75E+07, mat_peptide:nsp6:ORF1a_polyprotein:ORF1ab:GN=nsp6
NP_055935.4,0.1368322922,13.45938984,3.356757559,0.04508800461,-2.980673352,-0.552387727,1.665938719,1.51451532,NP_055935.4,ALMS1,2,2,2,NP_055935.4,HOMO SAPIENS,0.4,538,538.1,17.67,17.67,1.01E+08, Alstrom syndrome protein 1 GN=ALMS1
NP_001144.1,0.3841451962,6.565335161,3.274757559,0.2205293939,-3.966673352,0.231612273,1.587938719,1.22651532,NP_001144.1,ANXA4,3,3,3,NP_001144.1|NP_001307629.1|NP_001307631.1,HOMO SAPIENS,9,261,261.1,39.29,39.29,9.25E+07, annexin A4 isoform a GN=ANXA4
NP_001129125.1,0.002919193807,40.56373199,2.976257559,0.00008782674779,-1.431673352,-0.306387727,2.542938719,1.67151532,NP_001129125.1,PABPC4,13,16,8,NP_001129125.1|NP_001129126.1|NP_003810.1|NP_001012995.1|NP_001108206.3,HOMO SAPIENS,24.8,18,18.2,256.13,128.11,1.81E+09, polyadenylate-binding protein 4 isoform 1 GN=PABPC4
NP_002699.1,0.2166255445,10.671027,2.863757559,0.08568352002,-2.405673352,0.127612273,1.932938719,1.51651532,NP_002699.1,PPP1CA,2,7,2,NP_002699.1|NP_001008709.1,HOMO SAPIENS,24.2,84,84.2,121.13,26.99,7.76E+07, serine/threonine-protein phosphatase PP1-alpha catalytic subunit isoform 1 GN=PPP1CA
NP_001335.1,0.3995792715,6.169400209,2.756257559,0.2415794449,-3.860673352,-0.086387727,0.999938719,0.56551532,NP_001335.1,DAD1,2,2,2,NP_001335.1,HOMO SAPIENS,15.9,450,450.1,23.02,23.02,5.66E+07, dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 GN=DAD1
NP_002863.1,0.3014593422,8.259483496,2.693757559,0.1492971957,-2.650673352,0.275612273,1.741938719,1.27051532,NP_002863.1,RAC2,4,2,4,NP_002863.1|NP_005043.1|NP_008839.2|NP_061485.1|NP_001034891.1|NP_426359.1|NP_001303236.1|NP_001656.2|NP_036381.2|NP_065714.1,HOMO SAPIENS,9.8,280,280.1,37.12,51.26,1.38E+08, ras-related C3 botulinum toxin substrate 2 GN=RAC2
YP_009725310.1,0.002303468064,41.80443232,2.620614747,0.00006600195025,,-0.079387727,2.759938719,2.32251532,YP_009725310.1,nsp15,1,1,1,YP_009725310.1,SARSCOV2_NC_045512.2,2.6,617,617.1,14.66,14.66,3.76E+06, mat_peptide:endoRNAse:ORF1b_polyprotein:ORF1ab:GN=nsp15
NP_001138898.1,0.002303468064,42.01658518,2.586614747,0.00006285523905,,0.004612273,2.700938719,2.48151532,NP_001138898.1,YBX3,1,13,1,NP_001138898.1,HOMO SAPIENS,55.7,23,23.3,228.46,15.56,9.24E+06, Y-box-binding protein 3 isoform b GN=YBX3
YP_009724397.2,0.0004971220072,51.05999748,2.530257559,0.000007834300974,-0.529673352,-0.245387727,2.444938719,1.84051532,YP_009724397.2,N,707,38,38,YP_009724397.2,SARSCOV2_NC_045512.2,78.5,5,5.1,731.98,731.98,4.76E+12, CDS:nucleocapsid_phosphoprotein:N:GN=N
NP_003746.2,0.08525915342,16.7758596,2.520757559,0.02100941889,-1.929673352,0.009612273,1.661938719,1.45951532,NP_003746.2,EIF3G,2,2,2,NP_003746.2,HOMO SAPIENS,5.3,328,328.1,31.28,31.28,2.22E+08, eukaryotic translation initiation factor 3 subunit G GN=EIF3G
YP_009724390.1,0.0006106920096,49.78851939,2.437757559,0.00001049900303,-0.632673352,-0.204387727,2.222938719,1.81551532,YP_009724390.1,S,260,45,45,YP_009724390.1|YP_009724390.2,SARSCOV2_NC_045512.2,33.8,2,2.1,826.19,826.19,2.19E+11, CDS:surface_glycoprotein:S:GN=S
NP_001005464.1,0.330115896,7.638106625,2.437757559,0.1722619414,-2.645673352,0.264612273,1.395938719,1.09851532,NP_001005464.1,HIST2H3A,3,3,3,NP_001005464.1|NP_002098.1|NP_003484.1|NP_003520.1|NP_001013721.2|NP_001342338.1,HOMO SAPIENS,14.7,294,294.1,35.49,35.49,6.56E+08, histone H3.2 GN=HIST2H3A
NP_001166299.1,0.003369692526,39.36053906,2.410257559,0.0001158633533,-1.507673352,-0.330387727,1.687938719,1.29451532,NP_001166299.1,YTHDF2,2,2,2,NP_001166299.1|NP_001166599.1|NP_001264742.1|NP_001264744.1|NP_060268.2|NP_689971.4,HOMO SAPIENS,3.4,331,331.1,31.06,31.06,3.87E+07, YTH domain-containing family protein 2 isoform 2 GN=YTHDF2
NP_056130.2,0.2424089146,9.850905715,2.356757559,0.1034926312,-2.474673352,-0.036387727,1.197938719,1.00451532,NP_056130.2,LARP1,7,6,6,NP_056130.2,HOMO SAPIENS,5.2,168,168.1,60.94,60.94,8.59E+07, la-related protein 1 GN=LARP1
NP_001164274.1,0.0009775276973,47.07598315,2.348257559,0.00001960657273,0.101326648,0.084612273,2.798938719,2.08351532,NP_001164274.1,LARP4,3,3,3,NP_001164274.1|NP_001164279.1|NP_001317344.1|NP_001339234.1|NP_001339235.1|NP_001339236.1|NP_001339237.1|NP_001339238.1|NP_001339244.1|NP_001339245.1|NP_001339247.1|NP_001339248.1|NP_001339249.1|NP_443111.4|NP_954658.2|NP_954660.1|NP_001339250.1|NP_001339251.1|NP_001339252.1|NP_001164275.1|NP_001339233.1|NP_001339254.1|NP_001339255.1,HOMO SAPIENS,5.1,267,267.1,38.75,38.75,9.62E+07, la-related protein 4 isoform d GN=LARP4
NP_005889.3,0.01432021369,29.39717897,2.346257559,0.001148899665,-1.870673352,-0.353387727,1.256938719,1.21151532,NP_005889.3,CAPRIN1,3,3,3,NP_005889.3|NP_976240.1,HOMO SAPIENS,3.6,299,299.1,35.08,35.08,3.44E+07, caprin-1 isoform 1 GN=CAPRIN1
YP_009724391.1,0.004476685795,37.949588,2.341614747,0.0001603397491,,0.043612273,2.300938719,2.46951532,YP_009724391.1,ORF3a,2,2,2,YP_009724391.1,SARSCOV2_NC_045512.2,5.4,388,388.1,26.33,26.33,1.34E+08, CDS:ORF3a_protein:ORF3a:GN=ORF3a
NP_003747.1,0.05192953095,20.68857532,2.336757559,0.008533800148,-1.883673352,-0.180387727,1.533938719,1.07551532,NP_003747.1,EIF3H,2,2,2,NP_003747.1,HOMO SAPIENS,5.1,319,319.1,32.97,32.97,1.82E+07, eukaryotic translation initiation factor 3 subunit H GN=EIF3H
NP_001004317.1,0.0204841971,26.64755641,2.287257559,0.002163935736,-1.516673352,0.052612273,1.499938719,1.61051532,NP_001004317.1,LIN28B,9,5,5,NP_001004317.1,HOMO SAPIENS,22.4,120,120.1,88.25,88.25,3.51E+08, protein lin-28 homolog B GN=LIN28B
NP_001269581.1,0.001283317807,45.59429943,2.256257559,0.0000275784629,0.427326648,-0.221387727,2.425938719,2.29251532,NP_001269581.1,STIP1,2,2,2,NP_001269581.1|NP_001269582.1|NP_006810.1,HOMO SAPIENS,2.8,579,579.1,15.81,15.81,5.62E+07, stress-induced-phosphoprotein 1 isoform a GN=STIP1
NP_004550.2,0.001787463692,43.60615558,2.237757559,0.00004358975637,-0.599673352,-0.089387727,2.242938719,1.54351532,NP_004550.2,YBX1,82,17,12,NP_004550.2|NP_057066.2,HOMO SAPIENS,70,23,23.1,353.78,281.75,1.97E+10, nuclease-sensitive element-binding protein 1 GN=YBX1
NP_001018494.1,0.001749388382,43.96849202,2.195257559,0.00004010059329,-0.731673352,-0.132387727,1.954938719,1.57151532,NP_001018494.1,PUM1,2,3,1,NP_001018494.1|NP_055491.1,HOMO SAPIENS,2.4,262,262.2,31.8,13.14,1.27E+08, pumilio homolog 1 isoform 1 GN=PUM1
NP_001185747.1,0.009728690704,32.74359605,2.150257559,0.0005316678442,-1.213673352,-0.113387727,1.848938719,1.12451532,NP_001185747.1,A1CF,24,12,11,NP_001185747.1|NP_620310.1|NP_001185748.1|NP_001185749.1|NP_001264100.1|NP_001264102.1|NP_659416.1,HOMO SAPIENS,21.6,44,44.1,194.09,176.79,2.98E+09, APOBEC1 complementation factor isoform 1 GN=A1CF
NP_001258636.1,0.4743308399,4.94424247,2.140757559,0.3203138762,-3.639673352,0.009612273,0.159938719,0.49151532,NP_001258636.1,MKRN2,2,2,2,NP_001258636.1|NP_054879.3,HOMO SAPIENS,4.5,480,480.1,21.23,21.23,3.47E+07, probable E3 ubiquitin-protein ligase makorin-2 isoform 2 GN=MKRN2
NP_001071105.1,0.01026757472,31.64005504,2.057614747,0.0006854795392,,0.106612273,2.440938719,1.88751532,NP_001071105.1,RAB6D,1,3,1,NP_001071105.1|NP_115520.2,HOMO SAPIENS,8.6,80,80.5,43.83,14.28,5.95E+07, ras-related protein Rab-6D GN=RAB6D
NP_150093.1,0.1887297183,11.56395425,2.050257559,0.0697596953,-2.085673352,0.016612273,1.002938719,1.02851532,NP_150093.1,PURB,3,2,2,NP_150093.1,HOMO SAPIENS,6.7,289,289.1,35.89,35.89,3.23E+07, transcriptional activator protein Pur-beta GN=PURB
NP_055121.1,0.00506645817,37.24177613,2.036757559,0.0001887219376,-0.789673352,0.111612273,1.999938719,1.39551532,NP_055121.1,RTCB,3,2,2,NP_055121.1,HOMO SAPIENS,4.5,258,258.1,39.74,39.74,5.94E+07, tRNA-splicing ligase RtcB homolog GN=RTCB
NP_036429.2,0.002923656981,40.30450656,2.015257559,0.00009322863896,-0.543673352,-0.284387727,1.920938719,1.28151532,NP_036429.2,G3BP2,9,7,7,NP_036429.2|NP_987100.1,HOMO SAPIENS,12.2,114,114.1,92.75,92.75,1.00E+09, ras GTPase-activating protein-binding protein 2 isoform a GN=G3BP2
NP_001153146.1,0.002923656981,40.16201169,1.990757559,0.0000963382673,-0.741673352,-0.219387727,1.687938719,1.33251532,NP_001153146.1,SYNCRIP,31,21,21,NP_001153146.1|NP_001153148.1|NP_001153149.1|NP_001153147.1|NP_006363.4|NP_001153145.1|NP_001240700.1|NP_001095868.1|NP_005817.1|NP_001095867.1|NP_001095869.1|NP_001284549.1|NP_001284550.1|NP_001284551.1,HOMO SAPIENS,46.6,26,26.1,317.83,317.83,4.93E+09, heterogeneous nuclear ribonucleoprotein Q isoform 3 GN=SYNCRIP
YP_009725307.1,0.01394796861,29.58981772,1.916114747,0.001099051968,,-0.058387727,2.078938719,1.63651532,YP_009725307.1,nsp12,5,5,5,YP_009725307.1,SARSCOV2_NC_045512.2,5.1,127,127.1,82.89,82.89,1.46E+08, mat_peptide:RNA-dependent_RNA_polymerase:ORF1b_polyprotein:ORF1ab:GN=nsp12
NP_002559.2,0.00567642659,36.41621259,1.821257559,0.0002282331589,-0.504673352,-0.128387727,1.757938719,1.25151532,NP_002559.2,PABPC1,50,26,18,NP_002559.2|NP_112241.2|NP_001118228.1|NP_543022.1,HOMO SAPIENS,37.2,18,18.1,410.04,282.02,8.29E+09, polyadenylate-binding protein 1 GN=PABPC1
